TIME,SOFT_XRAY,HARD_XRAY
8,6.0,498.0
9,2.0,498.0
10,1.0,498.0
11,1.0,498.0
12,2.0,498.0
13,2.0,498.0
14,0.0,0.0
15,3.0,0.0
16,3.0,0.0
17,3.0,0.0
18,3.0,147.0
19,5.0,0.0
20,3.0,0.0
21,4.0,0.0
22,4.0,0.0
23,5.0,0.0
24,4.0,0.0
25,5.0,0.0
26,3.0,0.0
27,7.0,207.0
28,2.0,0.0
29,4.0,0.0
30,2.0,0.0
31,3.0,0.0
32,2.0,0.0
33,6.0,0.0
34,5.0,0.0
35,2.0,165.0
36,6.0,0.0
37,2.0,0.0
38,3.0,0.0
39,3.0,0.0
40,2.0,0.0
41,6.0,0.0
42,4.0,0.0
43,7.0,142.0
44,2.0,0.0
45,2.0,0.0
46,2.0,0.0
47,8.0,0.0
48,4.0,0.0
49,6.0,0.0
50,7.0,0.0
51,2.0,229.0
52,3.0,0.0
53,1.0,0.0
54,7.0,0.0
55,2.0,0.0
56,6.0,0.0
57,3.0,0.0
58,3.0,0.0
59,2.0,175.0
60,3.0,0.0
61,7.0,0.0
62,4.0,0.0
63,10.0,0.0
64,1.0,0.0
65,6.0,0.0
66,2.0,0.0
67,3.0,233.0
68,6.0,0.0
69,2.0,0.0
70,4.0,0.0
71,2.0,0.0
72,1.0,0.0
73,1.0,0.0
74,3.0,0.0
75,2.0,182.0
76,1.0,0.0
77,2.0,0.0
78,1.0,0.0
79,5.0,0.0
80,5.0,0.0
81,2.0,0.0
82,3.0,150.0
83,5.0,0.0
84,0.0,42.0
85,4.0,0.0
86,3.0,0.0
87,4.0,0.0
88,6.0,0.0
89,6.0,0.0
90,5.0,26.0
91,2.0,233.0
92,2.0,0.0
93,2.0,0.0
94,3.0,0.0
95,4.0,0.0
96,4.0,0.0
97,1.0,0.0
98,3.0,187.0
99,4.0,0.0
100,4.0,0.0
101,1.0,0.0
102,5.0,0.0
103,2.0,0.0
104,3.0,0.0
105,3.0,0.0
106,3.0,137.0
107,4.0,24.0
108,4.0,0.0
109,4.0,0.0
110,4.0,0.0
111,4.0,0.0
112,6.0,47.0
113,3.0,0.0
114,5.0,223.0
115,3.0,0.0
116,4.0,0.0
117,2.0,0.0
118,6.0,0.0
119,2.0,0.0
120,2.0,0.0
121,3.0,242.0
122,2.0,0.0
123,2.0,0.0
124,4.0,0.0
125,5.0,0.0
126,4.0,0.0
127,2.0,0.0
128,2.0,0.0
129,9.0,222.0
130,3.0,0.0
131,3.0,0.0
132,3.0,0.0
133,4.0,0.0
134,2.0,0.0
135,2.0,0.0
136,5.0,0.0
137,7.0,166.0
138,6.0,0.0
139,1.0,0.0
140,2.0,0.0
141,4.0,0.0
142,2.0,0.0
143,3.0,0.0
144,0.0,0.0
145,3.0,122.0
146,1.0,60.0
147,3.0,0.0
148,3.0,0.0
149,5.0,0.0
150,3.0,0.0
151,3.0,0.0
152,3.0,294.0
153,2.0,0.0
154,5.0,0.0
155,2.0,0.0
156,3.0,0.0
157,2.0,314.0
158,3.0,0.0
159,3.0,20.0
160,8.0,0.0
161,4.0,0.0
162,0.0,0.0
163,2.0,0.0
164,7.0,0.0
165,5.0,0.0
166,2.0,50.0
167,2.0,154.0
168,4.0,0.0
169,2.0,0.0
170,3.0,0.0
171,3.0,0.0
172,4.0,0.0
173,5.0,247.0
174,3.0,0.0
175,3.0,0.0
176,3.0,0.0
177,2.0,0.0
178,1.0,0.0
179,7.0,0.0
180,4.0,0.0
181,4.0,190.0
182,4.0,0.0
183,3.0,0.0
184,5.0,0.0
185,4.0,0.0
186,2.0,0.0
187,0.0,0.0
188,3.0,0.0
189,3.0,153.0
190,2.0,0.0
191,2.0,0.0
192,5.0,0.0
193,2.0,0.0
194,5.0,0.0
195,0.0,0.0
196,3.0,34.0
197,2.0,153.0
198,5.0,0.0
199,4.0,0.0
200,7.0,0.0
201,5.0,0.0
202,4.0,0.0
203,1.0,0.0
204,7.0,0.0
205,5.0,43.0
206,6.0,0.0
207,7.0,0.0
208,4.0,530.0
209,4.0,0.0
210,4.0,0.0
211,1.0,0.0
212,5.0,0.0
213,1.0,22.0
214,3.0,0.0
215,3.0,0.0
216,2.0,0.0
217,5.0,276.0
218,3.0,0.0
219,6.0,0.0
220,5.0,0.0
221,9.0,0.0
222,5.0,0.0
223,4.0,0.0
224,4.0,0.0
225,3.0,189.0
226,4.0,0.0
227,3.0,0.0
228,6.0,0.0
229,3.0,0.0
230,2.0,0.0
231,4.0,0.0
232,3.0,0.0
233,7.0,229.0
234,4.0,0.0
235,4.0,0.0
236,4.0,0.0
237,3.0,0.0
238,4.0,0.0
239,4.0,0.0
240,5.0,135.0
241,5.0,0.0
242,5.0,0.0
243,2.0,0.0
244,3.0,0.0
245,2.0,0.0
246,6.0,0.0
247,2.0,0.0
248,2.0,0.0
249,6.0,223.0
250,3.0,0.0
251,6.0,0.0
252,6.0,0.0
253,3.0,0.0
254,3.0,0.0
255,4.0,0.0
256,4.0,0.0
257,5.0,197.0
258,7.0,0.0
259,2.0,0.0
260,3.0,0.0
261,1.0,0.0
262,1.0,0.0
263,2.0,0.0
264,5.0,189.0
265,1.0,0.0
266,3.0,0.0
267,3.0,0.0
268,3.0,0.0
269,3.0,0.0
270,4.0,0.0
271,4.0,0.0
272,0.0,0.0
273,5.0,168.0
274,2.0,0.0
275,0.0,0.0
276,2.0,0.0
277,1.0,0.0
278,6.0,0.0
279,3.0,0.0
280,3.0,143.0
281,4.0,0.0
282,9.0,0.0
283,5.0,0.0
284,7.0,0.0
285,6.0,0.0
286,4.0,0.0
287,5.0,0.0
288,1.0,0.0
289,2.0,222.0
290,4.0,0.0
291,1.0,0.0
292,3.0,0.0
293,5.0,0.0
294,6.0,0.0
295,1.0,0.0
296,4.0,0.0
297,9.0,158.0
298,8.0,0.0
299,0.0,0.0
300,5.0,0.0
301,1.0,0.0
302,2.0,0.0
303,4.0,0.0
304,5.0,136.0
305,7.0,0.0
306,2.0,0.0
307,2.0,0.0
308,2.0,0.0
309,5.0,0.0
310,4.0,0.0
311,6.0,0.0
312,1.0,0.0
313,5.0,263.0
314,3.0,0.0
