TIME,SOFT_XRAY,HARD_XRAY
5,112.0,361.0
6,118.0,361.0
7,133.0,361.0
8,123.0,0.0
9,117.0,0.0
10,139.0,0.0
11,118.0,0.0
12,113.0,0.0
13,117.0,0.0
14,127.0,0.0
15,96.0,143.0
16,134.0,0.0
17,111.0,0.0
18,91.0,0.0
19,120.0,0.0
20,93.0,0.0
21,126.0,0.0
22,112.0,0.0
23,125.0,0.0
24,109.0,206.0
25,113.0,0.0
26,101.0,0.0
27,120.0,0.0
28,110.0,0.0
29,105.0,0.0
30,106.0,0.0
31,124.0,80.0
32,116.0,0.0
33,103.0,0.0
34,119.0,91.0
35,100.0,0.0
36,124.0,0.0
37,126.0,111.0
38,103.0,0.0
39,108.0,156.0
40,125.0,0.0
41,97.0,0.0
42,122.0,0.0
43,121.0,0.0
44,122.0,164.0
45,109.0,30.0
46,110.0,0.0
47,127.0,0.0
48,110.0,0.0
49,104.0,0.0
50,103.0,0.0
51,111.0,189.0
52,126.0,0.0
53,97.0,0.0
54,117.0,0.0
55,125.0,0.0
56,122.0,0.0
57,116.0,0.0
58,142.0,0.0
59,109.0,0.0
60,103.0,7.0
61,135.0,135.0
62,126.0,0.0
63,133.0,0.0
64,126.0,0.0
65,112.0,0.0
66,113.0,0.0
67,118.0,0.0
68,101.0,204.0
69,117.0,0.0
70,118.0,0.0
71,115.0,0.0
72,110.0,0.0
73,112.0,0.0
74,106.0,294.0
75,112.0,0.0
76,129.0,0.0
77,128.0,0.0
78,106.0,0.0
79,127.0,0.0
80,122.0,0.0
81,112.0,0.0
82,118.0,209.0
83,114.0,0.0
84,109.0,0.0
85,122.0,0.0
86,123.0,0.0
87,131.0,0.0
88,131.0,0.0
89,126.0,115.0
90,84.0,126.0
91,116.0,0.0
92,117.0,0.0
93,125.0,0.0
94,113.0,0.0
95,114.0,0.0
96,104.0,0.0
97,106.0,234.0
98,127.0,0.0
99,129.0,0.0
100,118.0,0.0
101,122.0,0.0
102,115.0,0.0
103,134.0,0.0
104,135.0,0.0
105,122.0,165.0
106,116.0,0.0
107,116.0,0.0
108,95.0,0.0
109,116.0,0.0
110,129.0,0.0
111,115.0,0.0
112,100.0,258.0
113,103.0,6.0
114,116.0,0.0
115,123.0,0.0
116,113.0,0.0
117,102.0,0.0
118,112.0,0.0
119,93.0,164.0
120,125.0,27.0
121,117.0,0.0
122,113.0,0.0
123,102.0,0.0
124,127.0,0.0
125,118.0,0.0
126,109.0,0.0
127,110.0,0.0
128,110.0,147.0
129,108.0,0.0
130,114.0,0.0
131,118.0,0.0
132,122.0,0.0
133,116.0,0.0
134,120.0,0.0
135,111.0,85.0
136,111.0,143.0
137,122.0,0.0
138,117.0,0.0
139,105.0,0.0
140,121.0,0.0
141,104.0,0.0
142,106.0,0.0
143,134.0,210.0
144,114.0,0.0
145,135.0,0.0
146,123.0,0.0
147,118.0,0.0
148,113.0,0.0
149,106.0,0.0
150,93.0,0.0
151,99.0,0.0
152,97.0,199.0
153,108.0,0.0
154,123.0,0.0
155,105.0,0.0
156,110.0,0.0
157,124.0,0.0
158,99.0,0.0
159,107.0,190.0
160,116.0,0.0
161,109.0,0.0
162,124.0,0.0
163,105.0,0.0
164,131.0,0.0
165,121.0,0.0
166,112.0,0.0
167,122.0,163.0
168,113.0,0.0
169,115.0,0.0
170,119.0,0.0
171,108.0,0.0
172,106.0,0.0
173,113.0,0.0
174,117.0,0.0
175,110.0,0.0
176,113.0,142.0
177,125.0,0.0
178,115.0,0.0
179,118.0,0.0
180,118.0,0.0
181,115.0,0.0
182,128.0,0.0
183,106.0,168.0
184,113.0,20.0
185,126.0,0.0
186,113.0,0.0
187,97.0,0.0
188,116.0,0.0
189,126.0,0.0
190,123.0,0.0
191,129.0,174.0
192,121.0,0.0
193,111.0,0.0
194,109.0,0.0
195,124.0,0.0
196,113.0,0.0
197,122.0,0.0
198,128.0,0.0
199,108.0,92.0
200,111.0,0.0
201,120.0,0.0
202,118.0,107.0
203,131.0,0.0
204,121.0,0.0
205,99.0,45.0
206,115.0,0.0
207,114.0,296.0
208,130.0,0.0
209,96.0,0.0
210,123.0,211.0
211,129.0,0.0
212,117.0,5.0
213,120.0,0.0
214,107.0,0.0
215,110.0,0.0
216,120.0,0.0
217,119.0,0.0
218,98.0,0.0
219,114.0,131.0
220,105.0,0.0
221,111.0,0.0
222,136.0,428.0
223,108.0,0.0
224,113.0,0.0
225,122.0,0.0
226,140.0,11.0
227,122.0,0.0
228,105.0,0.0
229,123.0,0.0
230,99.0,0.0
231,111.0,175.0
232,99.0,0.0
233,125.0,0.0
234,123.0,0.0
235,125.0,0.0
236,134.0,0.0
237,101.0,0.0
238,113.0,0.0
239,119.0,236.0
240,140.0,0.0
241,100.0,0.0
242,109.0,0.0
243,117.0,0.0
244,100.0,0.0
245,113.0,0.0
246,134.0,130.0
247,111.0,0.0
248,111.0,0.0
249,130.0,0.0
250,131.0,0.0
251,107.0,0.0
252,107.0,0.0
253,141.0,0.0
254,123.0,146.0
255,108.0,36.0
256,97.0,0.0
257,112.0,0.0
258,121.0,0.0
259,98.0,0.0
260,125.0,0.0
261,117.0,0.0
262,112.0,96.0
263,121.0,154.0
264,117.0,0.0
265,133.0,0.0
266,127.0,0.0
267,100.0,0.0
268,110.0,0.0
269,91.0,194.0
270,107.0,0.0
271,121.0,0.0
272,115.0,0.0
273,128.0,0.0
274,127.0,0.0
275,124.0,0.0
276,132.0,0.0
277,127.0,0.0
278,107.0,113.0
279,110.0,40.0
280,123.0,0.0
281,128.0,0.0
282,120.0,0.0
283,127.0,0.0
284,138.0,0.0
285,134.0,45.0
286,134.0,184.0
287,143.0,0.0
288,119.0,0.0
289,114.0,0.0
290,124.0,0.0
291,132.0,0.0
292,113.0,0.0
293,119.0,233.0
294,125.0,0.0
295,148.0,0.0
296,123.0,0.0
297,128.0,0.0
298,123.0,0.0
299,127.0,0.0
300,117.0,0.0
301,121.0,28.0
302,131.0,103.0
303,121.0,0.0
304,122.0,0.0
305,129.0,0.0
306,123.0,0.0
307,123.0,0.0
308,112.0,0.0
309,109.0,200.0
310,129.0,0.0
311,134.0,0.0
312,108.0,0.0
313,113.0,0.0
314,118.0,0.0
315,99.0,0.0
316,156.0,185.0
317,140.0,0.0
318,123.0,0.0
319,143.0,0.0
320,124.0,0.0
321,118.0,0.0
322,117.0,0.0
323,122.0,140.0
324,119.0,0.0
325,117.0,0.0
326,128.0,0.0
327,121.0,0.0
328,115.0,0.0
329,117.0,0.0
330,136.0,0.0
331,133.0,0.0
332,105.0,153.0
333,113.0,0.0
334,101.0,0.0
335,120.0,0.0
336,130.0,0.0
337,116.0,0.0
338,137.0,0.0
339,131.0,0.0
340,126.0,143.0
341,136.0,0.0
342,134.0,88.0
343,116.0,0.0
344,109.0,0.0
345,106.0,0.0
346,121.0,38.0
347,132.0,0.0
348,124.0,249.0
349,133.0,0.0
350,118.0,0.0
351,132.0,0.0
352,140.0,0.0
