Date,Instrument,Class,Start_Time,Peak_Time,Stop_Time,Peak_Flux,Background_Flux
10 February 2026,SoLEXS,B-Class,39981,39981,40578,4.2065223986245844e-07,7.836080493477323e-08
10 February 2026,SoLEXS,B-Class,77288,77313,77883,2.2899888765293957e-07,2.738193952876837e-08
10 February 2026,HEL1OS,B-Class,40575,40580,77281,1.213125695216864e-07,-6.702699969663024e-08
10 January 2026,SoLEXS,B-Class,29514,29654,29814,2.849843260187986e-07,1.5793305693193896e-08
10 January 2026,SoLEXS,B-Class,67960,68056,68153,3.1853574678935055e-07,3.615127919910883e-08
10 January 2026,SoLEXS,B-Class,70591,71002,71096,7.296885428253355e-07,3.06279704722408e-08
10 January 2026,SoLEXS,C-Class,72680,72838,72911,1.7226039033268676e-06,2.469076751946519e-07
10 January 2026,HEL1OS,B-Class,652,706,792,3.6633734452420575e-07,1.179087875417079e-09
10 January 2026,HEL1OS,B-Class,986,1007,1129,4.062665588026956e-07,1.179087875417079e-09
10 January 2026,HEL1OS,B-Class,1257,1455,1463,3.116169481241673e-07,1.179087875417079e-09
10 January 2026,HEL1OS,B-Class,2056,2160,2239,2.9556476893516997e-07,-1.0776620487409852e-08
10 January 2026,HEL1OS,B-Class,2508,2519,2790,4.985650723025406e-07,-1.0776620487409852e-08
10 January 2026,HEL1OS,B-Class,3046,3064,3257,4.7519870563250405e-07,6.132065931843235e-09
10 January 2026,HEL1OS,B-Class,3456,3623,3673,3.370795833754557e-07,1.690464152088119e-08
10 January 2026,HEL1OS,B-Class,4424,4518,4661,3.448892709070562e-07,1.6238244514105974e-08
10 January 2026,HEL1OS,B-Class,4670,4762,4824,4.877500252805974e-07,1.6238244514105974e-08
10 January 2026,HEL1OS,B-Class,4985,5063,5208,3.168904843765687e-07,1.6238244514105974e-08
10 January 2026,HEL1OS,B-Class,5611,5826,5841,3.603690969764256e-07,2.4051976944078387e-08
10 January 2026,HEL1OS,B-Class,6024,6061,6180,3.8729699666294504e-07,2.4051976944078387e-08
10 January 2026,HEL1OS,B-Class,6873,7075,7162,3.2494893315804285e-07,1.8317322277277156e-08
10 January 2026,HEL1OS,B-Class,7299,7353,7472,3.4932551319646844e-07,1.8317322277277156e-08
10 January 2026,HEL1OS,B-Class,7568,7607,7695,3.4257963393668517e-07,1.8317322277277156e-08
10 January 2026,HEL1OS,B-Class,7751,7822,8021,3.4350085954089175e-07,1.8317322277277156e-08
10 January 2026,HEL1OS,B-Class,8309,8325,8446,3.638861361108172e-07,2.093841642228663e-08
10 January 2026,HEL1OS,B-Class,8557,8616,8684,3.656213975123744e-07,-5.257963393669548e-08
10 January 2026,HEL1OS,B-Class,9171,9273,9336,3.544878147436419e-07,-5.257963393669548e-08
10 January 2026,HEL1OS,B-Class,12396,12502,12518,3.0464758822933486e-07,2.32076044089384e-08
10 January 2026,HEL1OS,B-Class,12536,12566,12771,3.6060370108199747e-07,-2.0447062392556668e-07
10 January 2026,HEL1OS,B-Class,12870,12884,12995,3.7503084235007255e-07,-2.0447062392556668e-07
10 January 2026,HEL1OS,B-Class,13047,13273,13303,3.562716149256622e-07,-2.0447062392556668e-07
10 January 2026,HEL1OS,B-Class,13416,13601,13619,3.8241986045099256e-07,-2.0447062392556668e-07
10 January 2026,HEL1OS,B-Class,14042,14200,14222,3.17383961977944e-07,4.711295378703461e-09
10 January 2026,HEL1OS,B-Class,17976,18090,18103,3.5735160279096714e-07,1.604105571847454e-08
10 January 2026,HEL1OS,B-Class,18467,18499,18634,3.008322378400136e-07,1.604105571847454e-08
10 January 2026,HEL1OS,B-Class,18677,18791,18824,4.037172616037878e-07,1.604105571847454e-08
10 January 2026,HEL1OS,B-Class,19293,19298,19561,3.5611993123671495e-07,6.065527353625025e-08
10 January 2026,HEL1OS,B-Class,19652,19729,19826,4.5310142582666e-07,-1.1841439983819951e-08
10 January 2026,HEL1OS,B-Class,19896,20136,20181,4.011851552229607e-07,-1.1841439983819951e-08
10 January 2026,HEL1OS,B-Class,20358,20493,20585,3.82789968652024e-07,-1.1841439983819951e-08
10 January 2026,HEL1OS,B-Class,20754,20768,20926,2.8878855293759715e-07,-1.130852462331845e-08
10 January 2026,HEL1OS,B-Class,21946,21966,22111,3.1060167863281327e-07,4.555566791384205e-09
10 January 2026,HEL1OS,B-Class,22167,22206,22363,3.445707351602669e-07,4.555566791384205e-09
10 January 2026,HEL1OS,B-Class,22817,22831,23019,3.45744766912719e-07,4.555566791384205e-09
10 January 2026,HEL1OS,B-Class,23142,23155,23271,3.6252300535947744e-07,-7.246435433309459e-09
10 January 2026,HEL1OS,B-Class,23275,23466,23521,3.3533724340174756e-07,-7.246435433309459e-09
10 January 2026,HEL1OS,B-Class,23602,23614,23741,4.896551724137757e-07,-7.246435433309459e-09
10 January 2026,HEL1OS,B-Class,23926,24043,24115,3.188391141672452e-07,-7.246435433309459e-09
10 January 2026,HEL1OS,B-Class,31917,31945,32230,5.965739710789554e-07,7.5680048538778e-09
10 January 2026,HEL1OS,B-Class,32231,32283,32452,3.284811406613292e-07,7.5680048538778e-09
10 January 2026,HEL1OS,B-Class,32825,32839,33100,3.703428051370077e-07,7.5680048538778e-09
10 January 2026,HEL1OS,B-Class,33320,33449,33461,3.1845990494487693e-07,1.9892810193143236e-08
10 January 2026,HEL1OS,B-Class,33852,33967,33991,3.511639195065098e-07,1.9892810193143236e-08
10 January 2026,HEL1OS,B-Class,36172,36482,36496,3.2979067650924103e-07,-3.188391141672449e-08
10 January 2026,HEL1OS,B-Class,36801,36882,37040,3.2949236525431124e-07,-3.188391141672449e-08
10 January 2026,HEL1OS,B-Class,37041,37052,37179,3.65588027100806e-07,-3.188391141672449e-08
10 January 2026,HEL1OS,B-Class,37400,37448,37527,3.1639397310141457e-07,-1.1665486904641096e-08
10 January 2026,HEL1OS,B-Class,40824,40872,40957,2.996238244514e-07,1.508949337647839e-08
10 January 2026,HEL1OS,B-Class,41129,41342,41423,3.6703610071795637e-07,1.508949337647839e-08
10 January 2026,HEL1OS,B-Class,41510,41631,41644,4.5436444534329454e-07,1.508949337647839e-08
10 January 2026,HEL1OS,B-Class,41646,41730,41856,4.053635352411626e-07,1.508949337647839e-08
10 January 2026,HEL1OS,B-Class,42668,42685,42880,4.573920517746828e-07,-3.6265446455656505e-07
10 January 2026,HEL1OS,B-Class,43022,43084,43175,3.3837395085447266e-07,-3.6265446455656505e-07
10 June 2026,SoLEXS,B-Class,3484,3563,3718,8.110041460208022e-07,4.094751744362277e-08
10 June 2026,SoLEXS,B-Class,48228,48345,48592,4.0701587622609535e-07,4.21862675700258e-08
10 June 2026,SoLEXS,C-Class,85267,85777,85779,2.0279239559105353e-06,1.0973809283041373e-07
10 June 2026,SoLEXS,C-Class,85963,86388,86399,2.6143348164627373e-06,4.4152694913538716e-07
10 June 2026,HEL1OS,B-Class,3427,3550,3575,7.399362928506158e-07,5.743452320760235e-08
10 June 2026,HEL1OS,B-Class,5421,5485,5645,3.8467792496712153e-07,2.8508443725350356e-08
10 June 2026,HEL1OS,B-Class,5719,5922,5934,4.3442309636968817e-07,2.8508443725350356e-08
10 June 2026,HEL1OS,B-Class,9582,9687,9720,3.8493780968751785e-07,4.0131459197086224e-08
10 June 2026,HEL1OS,B-Class,9813,9831,9945,4.532763676812458e-07,2.0806957225198967e-08
10 June 2026,HEL1OS,B-Class,9946,9977,10178,4.566680149661077e-07,2.0806957225198967e-08
10 June 2026,HEL1OS,B-Class,10185,10196,10353,5.639720902012136e-07,2.0806957225198967e-08
10 June 2026,HEL1OS,B-Class,10423,10441,10642,4.5101729194052394e-07,2.0806957225198967e-08
10 June 2026,HEL1OS,B-Class,10643,10739,10854,3.688128223278258e-07,2.0806957225198967e-08
10 June 2026,HEL1OS,B-Class,15907,16078,16102,3.5753766811607583e-07,3.699464050965586e-08
10 June 2026,HEL1OS,B-Class,18328,18460,18493,4.5330164829607037e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,18495,18652,18723,6.08325412074e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,18724,18782,18928,3.497128122155806e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,18929,18948,19090,4.080190110223336e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,19202,19274,19349,3.299797755081286e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,19350,19461,19477,4.3664880169884175e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,19478,19718,20152,4.623612094245967e-07,8.116088583274067e-09
10 June 2026,HEL1OS,B-Class,20153,20172,20561,6.176691273131541e-07,-3.971685711396359e-08
10 June 2026,HEL1OS,B-Class,20588,20629,20753,4.515562746485834e-07,-3.971685711396359e-08
10 June 2026,HEL1OS,B-Class,23357,23646,23657,4.666255435332021e-07,1.7923955910607102e-08
10 June 2026,HEL1OS,B-Class,23759,23771,24057,5.044261300434647e-07,1.7923955910607102e-08
10 June 2026,HEL1OS,B-Class,24105,24297,24308,4.354949944382492e-07,1.7923955910607102e-08
10 June 2026,HEL1OS,B-Class,25656,25863,26085,5.049337647891416e-07,3.3381535038930966e-08
10 June 2026,HEL1OS,B-Class,26086,26277,26295,3.8867731823236556e-07,5.437354636464538e-09
10 June 2026,HEL1OS,B-Class,26297,26316,26470,4.596592173121486e-07,5.437354636464538e-09
10 June 2026,HEL1OS,B-Class,26471,26745,26862,4.2474466579025687e-07,5.437354636464538e-09
10 June 2026,HEL1OS,B-Class,27033,27473,27486,4.26877338456856e-07,1.037516432399603e-08
10 June 2026,HEL1OS,B-Class,27686,27699,28087,5.020871675598972e-07,1.037516432399603e-08
10 June 2026,HEL1OS,B-Class,28569,28673,28942,4.915057134189328e-07,1.8193952876933325e-08
10 June 2026,HEL1OS,B-Class,29160,29172,29379,4.2718373950852957e-07,1.8193952876933325e-08
10 June 2026,HEL1OS,B-Class,29491,29594,29691,3.7215289715844565e-07,1.8193952876933325e-08
10 June 2026,HEL1OS,B-Class,30376,30409,30612,4.537627667104702e-07,2.154110627970396e-08
10 June 2026,HEL1OS,B-Class,30768,30779,30892,4.7635049044391057e-07,2.154110627970396e-08
10 June 2026,HEL1OS,B-Class,30987,31174,31185,4.605248255637413e-07,2.154110627970396e-08
10 June 2026,HEL1OS,B-Class,31186,31337,31783,4.792132672666427e-07,-2.0042471432904513e-08
10 June 2026,HEL1OS,B-Class,31854,31872,32148,4.242916371726009e-07,-2.0042471432904513e-08
10 June 2026,HEL1OS,B-Class,32149,32161,32280,4.6979371018301485e-07,-2.0042471432904513e-08
10 June 2026,HEL1OS,B-Class,32281,32403,32461,3.4185559712810996e-07,-2.0042471432904513e-08
10 June 2026,HEL1OS,B-Class,32462,32730,32818,4.2734047932044183e-07,2.4436242289411662e-08
10 June 2026,HEL1OS,B-Class,32846,32930,33063,4.2395388815854493e-07,2.4436242289411662e-08
10 June 2026,HEL1OS,B-Class,33150,33284,33493,5.415360501567205e-07,8.245525331175756e-09
10 June 2026,HEL1OS,B-Class,33592,33643,33749,3.3052887046211784e-07,8.245525331175756e-09
10 June 2026,HEL1OS,B-Class,33751,33764,34051,4.253412883001162e-07,8.245525331175756e-09
10 June 2026,HEL1OS,B-Class,34052,34059,34194,3.519304277479903e-07,8.245525331175756e-09
10 June 2026,HEL1OS,B-Class,34249,34366,34567,4.611163919506358e-07,8.245525331175756e-09
10 June 2026,HEL1OS,B-Class,34568,34745,34820,3.5864192537161224e-07,1.2922439073717852e-08
10 June 2026,HEL1OS,B-Class,37153,37155,37350,3.895358479118073e-07,6.367883506926666e-08
10 June 2026,HEL1OS,B-Class,37560,37572,37754,5.33786024876106e-07,-6.648801698857081e-09
10 June 2026,HEL1OS,B-Class,37755,37914,37927,4.5068055415106087e-07,-6.648801698857081e-09
10 June 2026,HEL1OS,B-Class,37934,38096,38189,3.7632217615531067e-07,-6.648801698857081e-09
10 June 2026,HEL1OS,B-Class,38190,38204,38355,5.990100111234491e-07,-6.648801698857081e-09
10 June 2026,HEL1OS,B-Class,40079,40184,40217,4.7198705632519294e-07,4.523005359490182e-08
10 June 2026,HEL1OS,B-Class,40218,40273,40351,3.2840833249063446e-07,2.5290727070481453e-08
10 June 2026,HEL1OS,B-Class,40411,40680,40693,3.8258266761046264e-07,-7.291536050156485e-08
10 June 2026,HEL1OS,B-Class,40694,40764,40855,3.2401152796034847e-07,-7.291536050156485e-08
10 June 2026,HEL1OS,B-Class,40859,40871,41133,5.028152492668443e-07,-7.291536050156485e-08
10 June 2026,HEL1OS,B-Class,41134,41231,41459,3.7988472039638644e-07,-7.291536050156485e-08
10 June 2026,HEL1OS,B-Class,42648,42790,43174,4.7043179290118657e-07,-2.1226312063908642e-07
10 June 2026,HEL1OS,C-Class,43181,43823,43911,2.461776721609782e-06,-2.1226312063908642e-07
10 June 2026,HEL1OS,B-Class,85183,85301,85340,6.76767114976212e-07,-7.148650015168114e-08
10 June 2026,HEL1OS,C-Class,85341,85698,85775,1.0101830316512938e-06,-6.956820709879415e-08
10 June 2026,HEL1OS,C-Class,85791,85980,86395,1.052173121650281e-06,8.679037314187172e-08
10 March 2026,SoLEXS,B-Class,12365,12436,12572,2.432136717564884e-07,2.6888461927393114e-08
10 March 2026,SoLEXS,B-Class,19801,20006,20199,8.143644453432818e-07,8.362625139043083e-08
10 March 2026,SoLEXS,B-Class,31241,31566,31750,5.480028314288409e-07,4.727677217109751e-08
10 March 2026,SoLEXS,C-Class,67169,67503,67773,2.011660430781605e-06,5.396298917989493e-08
10 March 2026,HEL1OS,B-Class,43218,43291,43361,3.6673677823843366e-07,-2.4829912023459525e-07
10 March 2026,HEL1OS,B-Class,43365,43466,43492,3.731256952168944e-07,-2.4829912023459525e-07
10 March 2026,HEL1OS,B-Class,43604,43721,43736,3.603731418747976e-07,-2.4829912023459525e-07
10 March 2026,HEL1OS,B-Class,44649,44856,44974,3.4420568308220025e-07,-6.88037213064998e-09
10 March 2026,HEL1OS,B-Class,45196,45357,45374,5.310243705126718e-07,-6.88037213064998e-09
10 March 2026,HEL1OS,B-Class,45383,45541,45614,3.527869349782461e-07,-2.509252705025697e-08
10 March 2026,HEL1OS,B-Class,45708,45789,45830,3.1364546465768923e-07,-4.2130650217411794e-08
10 March 2026,HEL1OS,B-Class,46269,46432,46839,4.2947618566082e-07,-4.2130650217411794e-08
10 March 2026,HEL1OS,B-Class,47620,47703,47772,3.6660936393971793e-07,-5.7768227323286424e-08
